incident_date,route,ccil,narrative,found_location,latitude,longitude,postcode
2020-01-11,Eastern (East Coast or North and East),CCIL 2076172 ,"Fault No. 783931 / At 0740, 2H15, Northern, 0717 Skipton – Leeds, passed L4004 signal on the Up Shipley Main line between Bingley Tunnel and Saltaire at red. When questioned, the driver stated that they had braked late (group 2 cause). After consultation with Northern, the driver was judged fit to continue. The driver was later relieved of duty for interview.",Bingley,53.84840967,-1.836944749,BD16 2NA
2020-01-11,Eastern (East Coast),CCIL 2076104 ,"At 0505, the driver of 5P10, TransPennine Express, 0419 York – York, formed by set 802210, consisting of five coaches in all, reported that they were unable to lower the pantograph at York platform 4. It transpired that the driver should have lowered the pantograph before departing platform 3, this resulted in the train running off the OLE and the pantograph going over height, as platform 4 is not wired. A Mobile Operations Manager, OLE staff and Hitachi technical staff were mobilised to site, the Mobile Operations Manager reported that there was no physical damage visible to the OLE. Hitachi technical staff advised that the pantograph appeared to have broken and that the height limiter had failed to operate. At 0640 the OLE staff confirmed there was no damage to the OLE, but the pantograph had come into contact with the station canopy, damaging several glass panels. A block to traffic was placed at 0727. Following rectification work the train was able to depart at 1000 under diesel traction with the pantograph secured. The block to services remained in place due to the broken glass panels. It was discovered that there was no warning signage for drivers advising that platform 4 is not wired. This was raised with the OLE engineer, with a repair plan for the damaged glass being agreed with operators at a later date.",York,53.95797924,-1.093176915,YO24 1AB
2020-01-11,Eastern (East Coast),CCIL 2076142 ,"At 0710, the signaller at Tweedmouth reported that 1E03, London North Eastern Railway, 0624 Edinburgh Waverley – Peterborough had not received the broadcast for an ESR. The signaller replaced TW162 signal at Berwick-upon-Tweed station to red to allow the driver to be advised This resulted in TW178 signal on the Up Main line north of the station to also revert to red in front of the train. The driver was unable to stop and passed the signal at red. The driver was fit to continue when the circumstances were explained.",Berwick-upon-Tweed,55.77482692,-2.011127048,TD15 1NF
2020-01-11,North West & Central (North West),CCIL 2076496 ,"At 2355, the driver of 2B57, Northern, 2256 Buxton – Manchester Piccadilly, reported running over a detonator and bringing the train to a stand short of a Possession Limit Board (PLB) on the Down Slow line at Stockport Edgeley Junction No. 2. Initial investigations revealed that the signaller at Stockport Edgeley Junction No. 2 SB had signalled the train from the Down Hope Valley line onto the Down Slow line that was blocked by LNWN WON 42, Item 126, various lines blocked including Edgeley Junction No.1 SB and Edgeley Junction No. 2 SB, Down Slow possession, 2235 (Sat) to 0505 (Mon). Arrangements were made with the PICOP for the PLB and detonators to be removed, so that the service could be routed onto the Down Fast line, achieved 0010. A Mobile Operations Manager was sent to Stockport Edgeley Junction No. 2 SB to interview the signaller. The Local Operations Manager was advised and an investigation into the incident was commenced.",Stockport,53.40555627,-2.163011702,SK3 9HZ
2020-01-11,Wales & Western (Western),No CCIL raised ,At 0440 it was advised that a member of Ganymede staff had fallen and dislocated their knee whilst they were working with ballast at Dawlish Warren. The injured party was accompanied to hospital for treatment.,Dawlish Warren,50.59905091,-3.444018179,EX7 0NF
2020-01-11,Southern (Sussex),CCIL 2075990 ,"At 0450 a member of contractor’s staff, employed by Short Term, working for Works Delivery as a Crane Controller sustained an arm injury whilst working at Thornton Heath. The injured person was attaching equipment to an on track machine when the operator lowered the arm of the machine instead of raising it, striking the person on the arm. The person attended hospital for assessment.",Thornton Heath,51.3992396,-0.101001212,CR7 8RX
2020-01-11,North West & Central (Central),CCIL 2076408 ,"At 1828, it was reported that a passenger on 2I83, West Midlands Trains, 1747 Rugeley Trent Valley – Birmingham International, had suffered a puncture wound to the finger after coming into contact with a needle that was wrapped in a newspaper at Rugeley Trent Valley. The injured party alighted at Walsall to seek medical assessment.",Rugeley Trent Valley,52.77003211,-1.92955021,WS15 3HA
2020-01-11,Eastern (EM),CCIL 2076265 ,"At 1125, the driver of 2L60, West Midlands Trains, 1036 Lincoln Central – Leicester, reported a near miss at Cheshunt Grove foot crossing at Lowdham station with a cyclist, who crossed in front of the train. The driver applied the emergency brake and the cyclist cleared the crossing. The driver was fit to continue. A Mobile Operations Manager attended and confirmed all signage correct and in place.",Cheshunt,51.70287691,-0.023951585,EN8 9AQ
2020-01-11,North West and Central (WCMLS),CCIL 2076261 ,"At 1127, the driver of 2S12, West Midlands Trains, 1104 Bedford – Bletchley, reported a near miss at Lidlington station with two people who ran across in front of the approaching train. The driver reported that they had applied the emergency brake. The people involved were seen to remain on the station platform. The driver was shaken by the incident and was met on arrival at Bletchley. The BT Police (ref. 189) were advised. A Mobile Operations Manager attended and reported no one seen and confirmed all signage correct and in place.",Lidlington,52.04154787,-0.558918711,MK43 0SA
2020-01-11,Wales and Western (Western),CCIL 2076299 ,"At 1243, the driver of 2T18, Great Western Railway, 1224 Exmouth – Exeter St. Davids, reported a near miss at Toffles FP crossing, between Topsham and Exton, with a person who crossed as the train approached, with the driver making an emergency brake application. The driver was fit to continue. The BT Police (ref. 226) were advised. A Mobile Operations Manager attended and confirmed the crossing in order at 1415.",Toffles,50.684227,-3.4620230000000003,EX3 0EN
