incident_date,route,ccil,narrative,found_location,location_name,latitude,longitude,postcode
2020-02-11,Scotland,CCIL 2093106 ,"At 1735, 1S17, London North Eastern Railway, London King's Cross – Edinburgh Waverley formed by unit 91119, continuously failed to operate ‘377’ track circuit on the Down ECML line at Abbeyhill Junction, between Edinburgh Waverley and Dunbar. Sand Contamination was found on the railhead, London North Eastern Railway were requested to ascertain if the driver of 1S17 was applying sand at the time.",Edinburgh Waverley,Edinburgh Waverley,55.9521,-3.1893,EH1 1BE
2020-02-11,North West and Central (NW),CCIL 2092623 ,"At 0022 (Tue), the driver of 1P97, TransPennine Express, 2340 Manchester International Airport – York reported coming to a stand at Miles Platting Junction whilst crossing from the Down Rochdale Slow line to the Down Rochdale line due to a possession marker board. The board was in position for WON 46, item 171, Miles Platting Junction & Windsor Bridge South Junction/ Windsor Bridge South Junction & Miles Platting Junction/ Ordsall Lane Junction & Manchester Victoria West Junction/ Salford Central & Windsor Bridge South Junction (Mon 2330 – Tue 0500), an LNW Central Manchester managed possession. The driver reported that the boards had subsequently been moved. The ODM reported that the possession limit boards placed on the Down Rochdale line were beyond No. 6705B points, vice the Up Rochdale line on approach to No. 6740B points. The PICOP confirmed at 0055 that the boards had been moved to the correct location. The staff member responsible for the possession boards was relieved of duty and ‘for cause’ screened.",North West and Central (NW),,,,
2020-02-11,Eastern (Anglia),CCIL 2093036 ,"At 1525, the driver of 2N86, Arriva Rail London, 1459 Stratford – Richmond stopped the train at the 5-car marker board at Hampstead Heath with one coach not accommodated in the platform and released all doors. There were no passenger incidents reported. The driver was authorised forward to Willesden Junction where the driver was relieved of duty.",Hampstead Heath,Hampstead Heath,51.55583725,-0.165171928,NW3 2QD
2020-02-11,Eastern (North & East),CCIL 2093112 ,"At 1747, the driver of 1P32, TransPennine Express, 1543 Newcastle Central – Manchester Airport, reported that the train had struck a person on the Up Fast line at Mirfield station. All lines were blocked, Emergency services and Network Rail staff attended at 1810. Northern services were diverted via Bradford Interchange and TransPennine Express services were suspended between Huddersfield and Leeds. BT Police (ref. 512) reported at 1833 that having obtained a statement from the driver, they had deemed the incident a non-suspicious accidental act. Due to the person being a minor, forensic recovery was required and SOCO were summoned to site, arriving at 1946. At 2008, 1P32 was authorised to depart and all lines remained blocked while SOCO undertook body recovery. All lines were reopened from 2145. Service recovery continued until the end of service.",Huddersfield,Huddersfield,53.64842819,-1.7851458340000002,HD1 1JB
2020-02-11,Wales and Western (Wales),CCIL 2093201 ,"At 2048, the driver of 2T56, Transport for Wales, 1948 Penarth – Treherbert, reported that the train had struck a person on the Single line between Tonypandy and Llwynypia, the line was blocked, Emergency services and Network Rail staff attended at 2122. Services were suspended between Treherbert and Pontypridd. BT Police (ref. 628) reported at 2151 that having obtained a statement from the driver, they had deemed the incident a non-suspicious deliberate act. The line was reopened from 2225.",Treherbert,Treherbert,51.67224166,-3.536321025,CF42 5HU
2020-02-11,Wales and Western (Wales),CCIL 2093201 ,"At 2048, the driver of 2T56, Transport for Wales, 1948 Penarth – Treherbert, reported that the train had struck a person on the Single line between Tonypandy and Llwynypia, the line was blocked, Emergency services and Network Rail staff attended at 2122. Services were suspended between Treherbert and Pontypridd. BT Police (ref. 628) reported at 2151 that having obtained a statement from the driver, they had deemed the incident a non-suspicious deliberate act. The line was reopened from 2225.",Treherbert,Treherbert,51.67221,-3.53641,F42 5LA
2020-02-11,Eastern (Anglia),CCIL 2092893 ,"At 1025, the driver of 2T10, Greater Anglia 1001 Marks Tey – Sudbury, reported a near miss at Hicks Private Footpath Crossing, near Sudbury with a member of the public. The driver applied the emergency brake and declared the incident a near miss. The driver was fit to continue. The BTP were not advised.",Hicks ,Hicks ,52.032696,0.742212,O10 0EH
2020-02-11,Eastern (Anglia),CCIL 2092893 ,"At 1025, the driver of 2T10, Greater Anglia 1001 Marks Tey – Sudbury, reported a near miss at Hicks Private Footpath Crossing, near Sudbury with a member of the public. The driver applied the emergency brake and declared the incident a near miss. The driver was fit to continue. The BTP were not advised.",Hicks ,Hicks ,52.184306,0.25769000000000003,B21 5JB
2020-02-11,Eastern (Anglia),CCIL 2092965 ,"At 1300, the driver of 1B66 Greater Anglia, 1255 Liverpool Street – Stanstead reported a near miss at Cambridge Heath station with a person believed to be intending to do themselves harm. The person was reported to have been restrained by passengers and potentially station staff. The driver was fit to continue. The BTP (ref. 291) attended and took the person into custody. A Mobile Operations Manager attended.",Cambridge Heath,Cambridge Heath,51.53197765,-0.057272558,E2 9EG
2020-02-11,Wales and Western (Western),CCIL 2092812 ,"At 1739. the driver of 2F24, Great Western Railway, 1524 Paignton – Exmouth, reported a near miss at Lympstone Village with a group of youths who were standing on the platform ramp. The driver was fit to continue. The BTP (ref. 567) were advised. No further sightings of the youths were reported.",Lympstone Village,Lympstone Village,50.64867164,-3.431393476,EX8 5JW
